claim_id,claim,status,evidence,scope,source
engineered-cycle,Frozen engineered PCC policies exhibit the prespecified balanced Pressure→Chaos→Control→Pressure cycle.,confirmed,balanced_cycle_confirmed=True; edge_strength_ratio=1.553,synthetic frozen policy family,validation/balanced-cycle.json
cycle-robustness,"The frozen PCC cycle is robust across the prespecified temperature, purity, and match-length grid.",partial,cycle_fraction=0.750; no_mode_dominates_grid=True,synthetic robustness surface,validation/robustness-grid.json
control-pressure-mechanism,Contextually aligned Control specifically improves performance against Pressure under matched counterfactual controls.,confirmed,passed 6/6 prespecified checks,synthetic causal-mechanism intervention,validation/control-pressure-mechanism.json
generic-counterfactual-control,Generic model-alignment counterfactuals identify a Control-specific dependence across targets.,failed,"failed: control_aligned_beats_swapped, control_aligned_beats_prior, control_model_dependence_is_discriminant, control_largest_for_at_least_two_targets",synthetic counterfactual intervention,validation/counterfactual-control.json
temporal-control-observable,Public temporal-history prediction gain is a discriminant observational measure of Control.,partial,"passed 2/4 prespecified checks; failed: control_correlation_at_least_0_20, control_correlation_discriminant",synthetic observational measurement,validation/temporal-control.json
contextual-control-observable,Matched public-history likelihood contrast is a family-invariant observational measure of Control.,partial,cross_family_control_gap=0.602; passed 2/3 prespecified checks; failed: cross_family_control_gap_at_most_0_20,two synthetic policy families,validation/contextual-control-observable.json
effective-chaos,Value-floor-weighted effective surprisal is a cross-family discriminant observational measure of Chaos.,partial,passed 3/4 prespecified checks; failed: all_families_discriminant,two synthetic policy families,validation/effective-chaos-validation.json
chaos-control-decomposition,Conditioning on public history universally separates Control-linked surprise from Chaos-linked residual surprise.,partial,"passed 2/4 prespecified checks; failed: independent_history_explained_is_control_discriminant_by_0_03, independent_residual_improves_chaos_margin_by_0_03",two synthetic policy families,validation/chaos-control-decomposition.json
pressure-surprise-suppression,Public Pressure exposure universally explains the negative Pressure/effective-surprisal association and improves Chaos discrimination.,partial,passed 5/6 prespecified checks; failed: independent_chaos_margin_improves_by_0_03,two synthetic policy families,validation/pressure-surprise-decomposition.json
family-invariant-pressure-panel,At least one conservative label-free Pressure observable is stable across both policy families.,confirmed,"selected: pressure_exposure, predicted_fold_probability",two synthetic policy families,validation/family-invariant-panel.json
family-invariant-control-panel,A conservative label-free Control observable is currently supported across both policy families.,unresolved,selected: none,two synthetic policy families,validation/family-invariant-panel.json
family-invariant-chaos-panel,A conservative label-free Chaos observable is currently supported across both policy families.,unresolved,selected: none,two synthetic policy families,validation/family-invariant-panel.json
implementation-invariant-supervised-coordinates,Supervised PCC coordinate recovery transfers invariantly between the Score and Independent policy families.,failed,Current supervised PCC coordinates are not implementation-invariant.,cross-family supervised transfer,validation/family-transfer-grid-summary.json
synthetic-mixture-identifiability,Continuous synthetic PCC mixture weights are identifiable above the prespecified baselines within the development family.,confirmed,relative_mae_improvement_over_action_frequency=0.127; passed 2/2 prespecified checks,synthetic mixture recovery; not human construct validity,validation/mixed-recovery.json
reproducibility-audit,The frozen synthetic validation bundle is complete and reproducibility-audit ready.,confirmed,reproducibility_ready=True; present=6/6,engineering/reproducibility,validation/reproducibility-manifest.json
